target_max_abs,lambda_budget,run_id,random_seed,raw_selected,raw_feasible,raw_energy,raw_gap,repaired_energy,repaired_gap,repair_moves,runtime_s
0.0,4.0,0,42,7,False,-83.10096789582077,18.97124030734433,-101.28952766529649,0.7826805378686146,2,7.483264700000291
0.0,4.0,1,43,6,False,-95.86211135254632,6.210096850618783,-100.37432024831776,1.6978879548473458,1,6.340807100001257
0.0,16.0,0,42,8,False,-256.6397086539829,145.43249954918224,-401.2808846197646,0.7913235834005263,3,6.741011500000241
0.0,16.0,1,43,8,False,-257.34998884314234,144.7222193600228,-401.3107031288566,0.761505074308559,3,6.365840100001151
0.5,4.0,0,42,5,True,-100.24249422315717,1.8297139800079378,-100.24249422315717,1.8297139800079378,0,7.085798800000703
0.5,4.0,1,43,5,True,-100.77974070803864,1.2924674951264592,-100.77974070803864,1.2924674951264592,0,6.517420199999833
0.5,16.0,0,42,5,True,-399.61863297121886,2.4535752319462745,-399.61863297121886,2.4535752319462745,0,6.7862416000007215
0.5,16.0,1,43,5,True,-400.7797407080386,1.292467495126516,-400.7797407080386,1.292467495126516,0,6.733381899999586
1.0,4.0,0,42,5,True,-100.70137643462917,1.3708317685359361,-100.70137643462917,1.3708317685359361,0,6.613387299999886
1.0,4.0,1,43,5,True,-101.37448360127118,0.697724601893924,-101.37448360127118,0.697724601893924,0,6.807300700000269
1.0,16.0,0,42,5,True,-400.70137643462914,1.370831768535993,-400.70137643462914,1.370831768535993,0,6.596301199999289
1.0,16.0,1,43,5,True,-401.3744836012712,0.697724601893924,-401.3744836012712,0.697724601893924,0,7.459215900000345
2.0,4.0,0,42,6,False,-96.49020875890793,5.581999444257178,-100.65818809151162,1.4140201116534854,1,6.301417499998934
2.0,4.0,1,43,5,True,-100.82259785089579,1.2496103522693147,-100.82259785089579,1.2496103522693147,0,5.752154700001483
2.0,16.0,0,42,6,False,-384.02816087240825,18.044047330756882,-400.5403697681797,1.5318384349854455,1,8.048126199999388
2.0,16.0,1,43,5,True,-400.82259785089576,1.2496103522693716,-400.82259785089576,1.2496103522693716,0,6.528510899999674
4.0,4.0,0,42,6,False,-97.81690899463311,4.255299208531994,-101.81333756606168,0.2588706371034277,1,7.212249700000029
4.0,4.0,1,43,5,True,-100.82259785089579,1.2496103522693147,-100.82259785089579,1.2496103522693147,0,6.965872000000672
4.0,16.0,0,42,6,False,-384.46741210441155,17.60479609875358,-400.74376073102724,1.3284474721378956,1,5.443935600000259
4.0,16.0,1,43,5,True,-400.82259785089576,1.2496103522693716,-400.82259785089576,1.2496103522693716,0,5.45707129999937
