N,K,lambda_budget,method,runs,feasibility_rate,raw_feasibility_rate,best_energy,best_f1,best_account_coverage,best_edge_coverage,runtime_s_mean,runtime_s_std,energy_mean,energy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,account_coverage_mean,account_coverage_std,edge_coverage_mean,edge_coverage_std,overlap_mean,overlap_std,duplicate_pattern_selections_mean,duplicate_pattern_selections_std,distinct_typologies_mean,distinct_typologies_std,best_selected_pattern_ids,best_selected_typologies,best_selected_sources,exact_reference_available,portfolio_count_C_N_K
30,5,4.0,exact_fixed_k_reference,1,1.0,1.0,-102.0722082031651,0.5882352941176471,0.6282051282051282,0.5,3.9852109999999357,0.0,-102.0722082031651,0.0,1.0,0.0,0.4166666666666667,0.0,0.5882352941176471,0.0,0.6282051282051282,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"48,239,147,63,303","GATHER-SCATTER,STACK,GATHER-SCATTER,SCATTER-GATHER,GATHER-SCATTER","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
30,5,4.0,openjij_sa_50_reads,1,1.0,1.0,-101.03902545276478,0.35294117647058826,0.46825396825396826,0.17647058823529413,0.06684279999990395,0.0,-101.03902545276478,0.0,0.6,0.0,0.25,0.0,0.35294117647058826,0.0,0.46825396825396826,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"147,60,303,63,17","GATHER-SCATTER,STACK,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
30,5,4.0,orbit_raw,3,0.6666666666666666,0.6666666666666666,-100.05190708682125,0.3333333333333333,0.4722222222222222,0.3235294117647059,3.6764842000000044,0.32812732856910515,-98.00305396578348,2.6609467743467072,0.43333333333333335,0.05773502691896256,0.19444444444444442,0.04811252243246882,0.2679738562091503,0.05660296756761036,0.39832583116165204,0.09317957170696849,0.18627450980392157,0.13262499273008513,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.5773502691896258,2.6666666666666665,0.5773502691896258,"303,141,360,333,60","GATHER-SCATTER,STACK,SCATTER-GATHER,SCATTER-GATHER,STACK","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
30,5,4.0,orbit_repaired,3,1.0,0.6666666666666666,-100.95991327027738,0.35294117647058826,0.4722222222222222,0.3235294117647059,3.6764842000000044,0.32812732856910515,-99.99114920387872,1.000527556057348,0.4666666666666666,0.11547005383792512,0.19444444444444442,0.04811252243246882,0.2745098039215686,0.06792356108113247,0.39832583116165204,0.09317957170696849,0.18627450980392157,0.13262499273008513,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,2.6666666666666665,0.5773502691896258,"239,48,147,63,17","STACK,GATHER-SCATTER,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
30,5,4.0,risk_greedy,1,1.0,1.0,-99.55220916320715,0.5882352941176471,0.6153846153846154,0.6470588235294118,0.0006846999999652326,0.0,-99.55220916320715,0.0,1.0,0.0,0.4166666666666667,0.0,0.5882352941176471,0.0,0.6153846153846154,0.0,0.6470588235294118,0.0,1.0,0.0,1.0,0.0,2.0,0.0,"48,239,141,48,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
30,5,4.0,static_qubo_greedy,1,1.0,1.0,-102.0722082031651,0.5882352941176471,0.6282051282051282,0.5,0.002490399999942383,0.0,-102.0722082031651,0.0,1.0,0.0,0.4166666666666667,0.0,0.5882352941176471,0.0,0.6282051282051282,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"48,239,147,63,303","GATHER-SCATTER,STACK,GATHER-SCATTER,SCATTER-GATHER,GATHER-SCATTER","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region",True,142506
50,5,4.0,openjij_sa_50_reads,1,0.0,0.0,-99.86721024780908,0.28571428571428575,0.29809725158562367,0.35374149659863946,0.10679360000017368,0.0,-99.86721024780908,0.0,0.6666666666666666,0.0,0.18181818181818182,0.0,0.28571428571428575,0.0,0.29809725158562367,0.0,0.35374149659863946,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"60,175,359,124,143,-6","STACK,STACK,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER,DECOY","real_extracted_candidate_region,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,synthetic_non_laundering_decoy",False,2118760
50,5,4.0,orbit_raw,3,0.0,0.0,-84.26438542941987,0.26666666666666666,0.24763705103969755,0.2755102040816326,6.162879800000003,0.5083487875498283,-72.4389213162789,10.290391942298283,0.3452380952380952,0.13521210347143509,0.12121212121212122,0.0524863881081478,0.1793103448275862,0.07568771325588197,0.20964186856197217,0.03639838183659857,0.13151927437641722,0.13409875628538442,0.0,0.0,0.0,0.0,3.3333333333333335,0.5773502691896258,"60,141,63,17,333,-3,-7","STACK,STACK,SCATTER-GATHER,SCATTER-GATHER,SCATTER-GATHER,DECOY,DECOY","real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,real_extracted_candidate_region,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy",False,2118760
50,5,4.0,orbit_repaired,3,1.0,0.0,-103.3566569159403,0.2962962962962963,0.166015625,0.2755102040816326,6.162879800000003,0.5083487875498283,-101.79345440246396,1.4303036456997842,0.46666666666666673,0.3055050463303894,0.10606060606060606,0.06943296507508849,0.1728395061728395,0.11315001715940344,0.12542537491139463,0.04580862676434963,0.13038548752834467,0.13564280137607865,0.0,0.0,0.0,0.0,3.0,0.0,"147,305,124,143,-7","GATHER-SCATTER,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER,DECOY","real_extracted_candidate_region,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,synthetic_non_laundering_decoy",False,2118760
50,5,4.0,risk_greedy,1,1.0,1.0,-105.36801235430518,0.37037037037037035,0.3223684210526316,0.4421768707482993,0.0014163000000735337,0.0,-105.36801235430518,0.0,1.0,0.0,0.22727272727272727,0.0,0.37037037037037035,0.0,0.3223684210526316,0.0,0.4421768707482993,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"175,46,305,330,359","STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate",False,2118760
50,5,4.0,static_qubo_greedy,1,1.0,1.0,-105.36801235430518,0.37037037037037035,0.3223684210526316,0.4421768707482993,0.004643199999918579,0.0,-105.36801235430518,0.0,1.0,0.0,0.22727272727272727,0.0,0.37037037037037035,0.0,0.3223684210526316,0.0,0.4421768707482993,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"175,46,305,330,359","STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate",False,2118760
75,5,4.0,openjij_sa_50_reads,1,0.0,0.0,-88.8206803336655,0.24390243902439024,0.12894736842105264,0.2193877551020408,0.2178438000000824,0.0,-88.8206803336655,0.0,0.7142857142857143,0.0,0.14705882352941177,0.0,0.24390243902439024,0.0,0.12894736842105264,0.0,0.2193877551020408,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"46,82,143,149,320,-5,-16","GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER,SCATTER-GATHER,GATHER-SCATTER,DECOY,DECOY","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy",False,17259390
75,5,4.0,orbit_raw,3,0.0,0.0,-39.81954437302561,0.2727272727272727,0.2512437810945274,0.14795918367346939,9.98152726666664,0.1886221214454523,-27.20584365194233,20.23622200290624,0.4222222222222222,0.1539600717839002,0.11764705882352942,0.050942670810849335,0.1839323467230444,0.07689866164682119,0.14515765492713725,0.0944169331628335,0.10827664399092969,0.050802634247697376,0.0,0.0,0.0,0.0,3.6666666666666665,0.5773502691896258,"333,204,79,93,-2,-4,-5,-11,-12","SCATTER-GATHER,SCATTER-GATHER,GATHER-SCATTER,GATHER-SCATTER,DECOY,DECOY,DECOY,DECOY,DECOY","real_extracted_candidate_region,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy",False,17259390
75,5,4.0,orbit_repaired,3,1.0,0.0,-103.55888180044883,0.25641025641025644,0.180028129395218,0.14625850340136054,9.98152726666664,0.1886221214454523,-102.92406024348298,0.9487556617825129,0.7333333333333334,0.23094010767585033,0.10784313725490197,0.03396178054056622,0.18803418803418803,0.05921541222457701,0.10996145884699476,0.06079035193907603,0.10770975056689343,0.05014363806688431,0.0,0.0,0.0,0.0,3.0,0.0,"239,147,149,235,93","STACK,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER,GATHER-SCATTER","real_extracted_candidate_region,real_extracted_candidate_region,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate",False,17259390
75,5,4.0,risk_greedy,1,1.0,1.0,-105.36106664912268,0.25641025641025644,0.18846694796061886,0.2193877551020408,0.0014335999999275373,0.0,-105.36106664912268,0.0,1.0,0.0,0.14705882352941177,0.0,0.25641025641025644,0.0,0.18846694796061886,0.0,0.2193877551020408,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"46,305,330,359,320","GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate",False,17259390
75,5,4.0,static_qubo_greedy,1,1.0,1.0,-105.36801235430518,0.25641025641025644,0.20675105485232068,0.22108843537414966,0.010709700000006706,0.0,-105.36801235430518,0.0,1.0,0.0,0.14705882352941177,0.0,0.25641025641025644,0.0,0.20675105485232068,0.0,0.22108843537414966,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"175,46,305,330,359","STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate",False,17259390
100,5,4.0,openjij_sa_50_reads,1,1.0,1.0,-103.10545559750787,0.11538461538461536,0.07082945013979497,0.08449074074074074,0.24811909999993986,0.0,-103.10545559750787,0.0,0.6,0.0,0.06382978723404255,0.0,0.11538461538461536,0.0,0.07082945013979497,0.0,0.08449074074074074,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"175,235,214,-26,-28","STACK,SCATTER-GATHER,GATHER-SCATTER,DECOY,DECOY","pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,pattern_summary_derived_laundering_candidate,synthetic_non_laundering_decoy,synthetic_non_laundering_decoy",False,75287520
