target_max_abs,lambda_budget,run_id,random_seed,raw_selected,raw_feasible,raw_energy,raw_gap,repaired_energy,repaired_gap,repair_moves,runtime_s,raw_f1,raw_jaccard,raw_account_coverage,raw_edge_coverage,raw_overlap,repaired_f1,repaired_jaccard,repaired_account_coverage,repaired_edge_coverage,repaired_overlap
1.0,4.0,0,42,5,True,-100.70137643462915,1.370831768535936,-100.70137643462915,1.370831768535936,0,6.0970608000006905,0.2352941176470588,0.3333333333333333,0.3358208955223881,0.1176470588235294,0.0,0.2352941176470588,0.3333333333333333,0.3358208955223881,0.1176470588235294,0.0
1.0,4.0,1,43,5,True,-101.37448360127118,0.697724601893924,-101.37448360127118,0.697724601893924,0,5.255809000000227,0.4705882352941176,0.5,0.6388888888888888,0.5882352941176471,0.0,0.4705882352941176,0.5,0.6388888888888888,0.5882352941176471,0.0
1.0,4.0,2,44,5,True,-99.80276828104184,2.2694399221232686,-99.80276828104184,2.2694399221232686,0,5.215973999998823,0.3529411764705882,0.5,0.576,0.1176470588235294,0.0,0.3529411764705882,0.5,0.576,0.1176470588235294,0.0
1.0,4.0,3,45,5,True,-101.18125990786211,0.8909482953029908,-101.18125990786211,0.8909482953029908,0,5.231946500000049,0.3529411764705882,0.3333333333333333,0.3805970149253731,0.2941176470588235,0.0,0.3529411764705882,0.3333333333333333,0.3805970149253731,0.2941176470588235,0.0
1.0,4.0,4,46,5,True,-100.68330153419508,1.3889066689700371,-100.68330153419508,1.3889066689700371,0,5.369366799999625,0.2352941176470588,0.5,0.596,0.3823529411764705,0.0,0.2352941176470588,0.5,0.596,0.3823529411764705,0.0
1.0,4.0,5,47,5,True,-100.1499488871373,1.9222593160278048,-100.1499488871373,1.9222593160278048,0,5.356870399999025,0.3529411764705882,0.5,0.6388888888888888,0.2352941176470588,0.0,0.3529411764705882,0.5,0.6388888888888888,0.2352941176470588,0.0
1.0,4.0,6,48,5,True,-100.8550215144053,1.21718668875981,-100.8550215144053,1.21718668875981,0,5.480875100000048,0.3529411764705882,0.5,0.4682539682539682,0.1470588235294117,0.0,0.3529411764705882,0.5,0.4682539682539682,0.1470588235294117,0.0
1.0,4.0,7,49,5,True,-100.3826383123916,1.6895698907734982,-100.3826383123916,1.6895698907734982,0,5.540551900001447,0.3529411764705882,0.5,0.5714285714285714,0.2352941176470588,0.0,0.3529411764705882,0.5,0.5714285714285714,0.2352941176470588,0.0
1.0,4.0,8,50,5,True,-98.92233261294018,3.149875590224923,-98.92233261294018,3.149875590224923,0,5.650281000000177,0.3529411764705882,0.375,0.3571428571428571,0.1764705882352941,1.0,0.3529411764705882,0.375,0.3571428571428571,0.1764705882352941,1.0
1.0,4.0,9,51,6,False,-96.77779124571084,5.294416957454274,-101.08265408674092,0.9895541164241876,1,5.768425000000207,0.4444444444444444,0.8571428571428571,0.9273504273504274,0.2941176470588235,0.0,0.3529411764705882,0.7142857142857143,0.7478632478632479,0.2647058823529412,0.0
1.0,4.0,10,52,6,False,-97.29813366675212,4.774074536412996,-101.39014267505272,0.6820655281123891,1,5.433559700000842,0.3333333333333333,0.4444444444444444,0.4850746268656716,0.2647058823529412,0.0,0.3529411764705882,0.3333333333333333,0.3171641791044776,0.2647058823529412,0.0
1.0,4.0,11,53,5,True,-99.03749904696056,3.034709156204542,-99.03749904696056,3.034709156204542,0,5.494897900000069,0.2352941176470588,0.2222222222222222,0.2703703703703703,0.2352941176470588,1.0,0.2352941176470588,0.2222222222222222,0.2703703703703703,0.2352941176470588,1.0
1.0,4.0,12,54,5,True,-100.034934980953,2.037273222212093,-100.034934980953,2.037273222212093,0,5.828944299999421,0.1176470588235294,0.5,0.54,0.0588235294117647,0.0,0.1176470588235294,0.5,0.54,0.0588235294117647,0.0
1.0,4.0,13,55,5,True,-101.13503991657066,0.9371682865944422,-101.13503991657066,0.9371682865944422,0,5.492978000000221,0.3529411764705882,0.3333333333333333,0.2723880597014925,0.1470588235294117,0.0,0.3529411764705882,0.3333333333333333,0.2723880597014925,0.1470588235294117,0.0
1.0,4.0,14,56,5,True,-100.4154346024464,1.656773600718708,-100.4154346024464,1.656773600718708,0,5.663528800001586,0.2352941176470588,0.3333333333333333,0.3171641791044776,0.1176470588235294,0.0,0.2352941176470588,0.3333333333333333,0.3171641791044776,0.1176470588235294,0.0
1.0,4.0,15,57,5,True,-98.66422970622943,3.407978496935669,-98.66422970622943,3.407978496935669,0,5.579357900000105,0.1176470588235294,0.1,0.0979020979020979,0.088235294117647,1.0,0.1176470588235294,0.1,0.0979020979020979,0.088235294117647,1.0
1.0,4.0,16,58,5,True,-99.86741386495504,2.2047943382100783,-99.86741386495504,2.2047943382100783,0,5.890449200000148,0.1176470588235294,0.3333333333333333,0.4291044776119403,0.0294117647058823,0.0,0.1176470588235294,0.3333333333333333,0.4291044776119403,0.0294117647058823,0.0
1.0,4.0,17,59,5,True,-100.27728538913384,1.7949228140312528,-100.27728538913384,1.7949228140312528,0,5.560967400000664,0.2352941176470588,0.3333333333333333,0.2761194029850746,0.0588235294117647,0.0,0.2352941176470588,0.3333333333333333,0.2761194029850746,0.0588235294117647,0.0
1.0,4.0,18,60,5,True,-98.73187949052192,3.340328712643185,-98.73187949052192,3.340328712643185,0,5.367995799999335,0.3529411764705882,0.375,0.46,0.2058823529411764,1.0,0.3529411764705882,0.375,0.46,0.2058823529411764,1.0
1.0,4.0,19,61,5,True,-99.99104601914806,2.081162184017046,-99.99104601914806,2.081162184017046,0,5.462341700000252,0.2352941176470588,0.5,0.576,0.2647058823529412,0.0,0.2352941176470588,0.5,0.576,0.2647058823529412,0.0
